Card holder name,Security code/CVV,Expiration date,Credit Card number,Card provider
Emily Smith,406,08/26,4248025364942392,Discover
Sarah Garcia,442,04/27,3741559455404387,Discover
Sarah Garcia,131,01/25,5267411731837569,MasterCard
David Williams,211,05/27,3776529116187273,Discover
Jennifer Brown,482,03/24,5616068646303588,American Express
David Williams,637,06/27,5135161315021342,American Express
Michael Jones,259,01/27,5239617926900070,Visa
David Smith,729,03/27,3749340535638043,American Express
Emily Johnson,358,11/29,5239106762324009,American Express
Lisa Johnson,308,04/28,4992946885430443,Discover
David Williams,407,08/29,3708827754964802,Discover
Lisa Johnson,609,05/25,3744268268876743,Visa
Scott Smith,756,04/25,3712681605276880,Visa
Lisa Williams,468,11/27,4650899536031099,American Express
Michael Smith,787,02/29,6373794448817241,MasterCard
John Garcia,575,12/29,6774224700631929,American Express
Jane Jones,781,11/25,4385697942628892,Visa
Michael Williams,545,08/24,6057348522872870,MasterCard
Michael Johnson,445,09/26,4104664023920044,MasterCard
Scott Williams,932,12/29,3700136821503058,Visa
Sarah Johnson,396,01/28,3791129378724417,Visa
Jane Jones,531,02/28,6149853429119648,Visa
John Jones,189,10/26,5145247829478967,MasterCard
Lisa Smith,707,08/28,4288265717058469,Discover
David Garcia,992,04/27,4995087243056856,Discover
Jennifer Williams,287,08/26,6531599410848499,MasterCard
Jennifer Brown,121,03/26,5692399285561088,American Express
Jane Smith,828,06/28,3764719903896004,Visa
Jennifer Garcia,545,01/28,3725487274038485,MasterCard
David Johnson,772,04/26,6276485757165029,Discover
Michael Jones,583,07/28,3707913162458073,Visa
Jane Brown,415,07/27,4713772620138002,MasterCard
Jane Jones,127,09/28,3761913728810257,American Express
Scott Williams,170,05/27,6276074451729437,Visa
Sarah Johnson,767,12/27,6707916585708126,MasterCard
Sarah Williams,761,03/29,5886082187655242,MasterCard
Michael Garcia,745,03/26,4021917893416877,Discover
Scott Jones,720,05/28,4067877385766715,Discover
David Brown,857,11/26,4081474748001733,American Express
Jennifer Williams,607,09/27,6161612123529913,MasterCard
John Brown,847,01/28,4537902323879396,Discover
Jennifer Garcia,801,09/29,3720388517137586,Visa
Sarah Brown,683,07/29,4692482589356943,MasterCard
Scott Smith,675,12/28,3789249329044626,MasterCard
David Smith,387,12/27,5823653033591207,Visa
John Jones,242,10/24,5843537011083400,Discover
Emily Smith,556,02/29,4920369623529532,Visa
Jane Johnson,470,03/27,4973155739714001,American Express
Scott Smith,895,05/24,5796473619305515,Visa
Emily Williams,517,09/29,6322168290272809,American Express
David Johnson,220,10/26,6002488370374938,MasterCard
Sarah Smith,788,03/29,4272247676566698,MasterCard
Jennifer Johnson,471,04/28,4335483428208249,MasterCard
Sarah Williams,295,09/25,5901220102063651,Discover
David Garcia,689,02/29,3749037017687643,American Express
Sarah Brown,820,07/25,6397390150483173,American Express
Michael Garcia,150,02/26,6960941523598324,MasterCard
Jennifer Smith,298,08/26,6064573123908341,Visa
Jane Williams,960,06/24,6793439966802447,American Express
Michael Garcia,551,03/26,5514800866181010,Visa
Emily Garcia,690,01/25,3709733195727890,Visa
Scott Smith,334,08/24,5182911272998300,American Express
Emily Johnson,136,05/24,5006767077034368,Visa
Lisa Williams,903,04/29,6228830107284484,Visa
Lisa Garcia,402,12/24,3748438961845438,MasterCard
Jennifer Jones,912,06/24,3780604322268078,American Express
David Jones,329,12/24,3736023385849176,American Express
Scott Brown,988,09/26,3792599307256310,Visa
Jennifer Williams,523,10/24,6683570536740981,American Express
Jane Brown,547,02/24,5897631212971912,MasterCard
Scott Jones,630,11/28,5030356149331141,MasterCard
Jane Jones,835,01/28,4905517104050647,Discover
Emily Williams,565,12/27,6445105474377550,Visa
John Johnson,582,06/24,3795833057390129,Visa
Lisa Smith,785,03/24,6578981220759880,MasterCard
David Brown,259,12/24,6049627716859004,Discover
Scott Smith,272,10/26,4964354033834158,MasterCard
David Williams,981,05/24,6619311010119700,American Express
Lisa Smith,712,01/28,6483286884421064,American Express
Jennifer Johnson,235,11/27,6777637399667754,American Express
Lisa Garcia,500,03/29,3732313554095840,Discover
Jennifer Johnson,301,05/27,5328399030452890,Discover
Jane Jones,136,10/27,4031171041209812,MasterCard
Michael Johnson,145,03/26,3765886056783823,American Express
Jane Garcia,419,01/27,6130891419327640,Visa
David Garcia,744,03/29,5612150381317512,Visa
Scott Garcia,972,09/24,5937792999794471,American Express
Michael Jones,317,06/29,4039886381155083,MasterCard
Lisa Smith,444,12/25,5959257741108373,American Express
Sarah Jones,804,03/27,5857519530858952,American Express
Jane Brown,179,06/24,6366700029505526,Visa
Scott Williams,720,01/29,6049274059799081,Discover
Sarah Smith,305,01/28,6490590476462068,American Express
John Brown,708,08/29,3711334498880019,American Express
John Williams,636,12/24,5514506213343894,American Express
Lisa Smith,638,06/25,4165322405136798,MasterCard
Jane Smith,172,06/26,6627823543401637,American Express
Michael Brown,737,12/24,6890912727602431,Visa
Jane Williams,917,04/24,6185280048721056,Visa
David Garcia,894,11/24,3746939986370270,Visa
David Jones,261,01/25,3795821957991781,American Express
Scott Smith,836,11/24,6712875235015980,American Express
Lisa Smith,307,06/25,3711816231516710,MasterCard
Emily Johnson,473,07/29,5421897241277101,Discover
Scott Brown,475,06/28,5992180352014855,MasterCard
John Smith,839,01/25,6653053209006614,Discover
John Garcia,455,03/25,4087372040599145,Discover
Emily Jones,754,04/24,6088633608515631,MasterCard
David Brown,162,12/27,5696008162573035,MasterCard
David Brown,533,03/24,5123404887605959,American Express
Lisa Garcia,289,10/26,5559155695824280,Visa
Lisa Williams,914,11/25,4982828346885559,MasterCard
Emily Brown,753,05/26,6444312635674757,MasterCard
Emily Johnson,564,04/28,4934499173048155,Discover
David Smith,458,08/27,4208563660287292,Visa
John Johnson,927,10/24,5273932391830794,Visa
Emily Garcia,868,08/28,6032088877752703,American Express
Jane Williams,476,02/25,4090722816405148,MasterCard
Scott Brown,810,06/27,4201551832053251,American Express
John Johnson,183,09/27,6371525315602767,Discover
Emily Johnson,434,05/24,6621695194350727,Discover
Lisa Smith,736,01/27,4984860085152964,Discover
Emily Smith,724,07/27,6573482034656896,Discover
John Garcia,384,04/26,5104775539520081,MasterCard
Sarah Jones,543,04/28,4388699624385855,Discover
Michael Smith,872,01/25,5586336934028787,American Express
Sarah Smith,933,03/24,4184844599712578,American Express
Michael Williams,896,09/25,4314390454394733,MasterCard
Lisa Jones,352,08/27,6318253038336961,Discover
Lisa Williams,532,09/27,6404851222047099,Visa
Lisa Williams,802,07/25,3719643519927670,MasterCard
Sarah Smith,557,03/29,3751006447299043,Visa
Lisa Brown,428,04/25,5599407698890483,MasterCard
Jane Johnson,174,09/24,5641981311451343,Visa
David Smith,895,10/28,3767658147624680,MasterCard
Lisa Brown,586,07/24,6155379642912446,MasterCard
John Brown,949,10/24,5467801144336431,Visa
John Smith,617,03/29,6622676829434689,Discover
Jennifer Garcia,469,09/25,4649629506688196,American Express
Scott Williams,644,09/27,5763177778535783,Discover
Michael Garcia,860,10/24,5253093673063689,Discover
Jane Garcia,557,11/25,6219295214097198,American Express
Sarah Garcia,610,01/25,3783497928763031,American Express
Emily Brown,609,06/27,5267933820864238,American Express
Michael Garcia,490,12/28,6230615791445889,MasterCard
John Garcia,817,01/27,5749679575888660,American Express
John Garcia,904,04/27,4203271460029816,MasterCard
Scott Jones,843,05/26,6736841026927314,Visa
Emily Jones,515,01/24,4511489018562529,MasterCard
Scott Garcia,327,12/24,4595225668828557,MasterCard
John Smith,878,01/29,4443905339295898,Discover
Sarah Williams,195,07/25,6041348321539737,MasterCard
Jane Jones,896,10/25,6989318545693127,Discover
Sarah Jones,499,01/24,5970027375666755,Discover
Michael Smith,551,12/24,5235713674475474,MasterCard
Michael Williams,219,01/28,3774425093263066,Visa
Jennifer Williams,579,04/25,6808142111272242,MasterCard
John Jones,460,03/25,5857909594590379,MasterCard
Jennifer Johnson,814,12/24,4994660736539066,Visa
Jane Williams,796,06/29,6792134578716629,Discover
Scott Smith,612,06/28,6620037194117866,Visa
David Johnson,128,02/28,6971244328651860,American Express
Lisa Smith,708,10/24,5038138367007518,MasterCard
Michael Brown,947,01/24,4544805428364167,Visa
Jennifer Brown,993,03/29,4798682348645253,MasterCard
Scott Johnson,570,09/26,5817316243917905,American Express
Emily Jones,868,09/29,4891597739307154,MasterCard
Jennifer Garcia,518,07/26,6562505744003810,MasterCard
Michael Smith,788,02/29,3704641897457093,Visa
Scott Johnson,895,05/26,6574384432323989,Discover
David Williams,520,09/26,5352271596871038,Discover
Jane Williams,219,04/29,6457905469106830,Discover
Scott Jones,190,04/24,6565113978235583,Visa
Michael Williams,863,09/24,3783235708423495,Visa
Jane Smith,192,10/27,5611864204606486,American Express
Jennifer Brown,127,01/24,6695592333123522,Visa
Jennifer Brown,821,11/25,6900469689793326,Discover
John Garcia,582,06/28,5168647709715341,MasterCard
Jennifer Williams,403,01/25,5062584084310595,Visa
Michael Jones,778,04/27,6850701752920174,Visa
Emily Williams,903,09/27,5205200766783045,Visa
Lisa Smith,743,09/25,3726477862434757,Discover
Scott Williams,353,02/26,6999169633903284,MasterCard
Emily Williams,290,04/27,4387742343221414,American Express
Sarah Smith,183,06/28,5011878761237952,Visa
Jennifer Johnson,386,05/25,5784164627986198,American Express
Scott Garcia,479,10/26,3765146038343497,MasterCard
Jennifer Johnson,175,12/25,6697513780531049,American Express
Scott Johnson,136,09/24,4897721246078330,American Express
Michael Jones,722,02/29,5873653566270178,Visa
John Garcia,553,01/29,3733246376052087,Visa
John Jones,379,11/28,4996417009288303,American Express
Michael Brown,422,03/24,3791571958614924,MasterCard
Lisa Johnson,391,07/28,3763731109733981,American Express
Scott Brown,368,09/28,4490029269743280,Visa
Michael Brown,663,11/25,5289000615682946,MasterCard
Lisa Williams,735,08/28,6641028612864648,American Express
Scott Johnson,854,01/28,3740698506856947,American Express
Emily Brown,381,09/24,5777371825059905,American Express
John Johnson,781,12/24,4742031527870331,Discover
Jennifer Jones,229,10/24,6675557382769776,American Express
Jennifer Garcia,767,06/24,6462120407379175,MasterCard
Jennifer Jones,742,03/24,4038966692197270,MasterCard
Emily Williams,128,01/24,3711964101267988,Discover
Lisa Brown,441,10/24,5042891156621956,Visa
Jennifer Smith,354,09/26,6403115567484577,American Express
Michael Garcia,633,10/26,4426392914270235,American Express
Emily Brown,638,06/27,4736123212190634,American Express
Jane Garcia,768,01/27,6760343666700407,Discover
John Smith,803,03/26,3789050314986254,Visa
John Brown,398,04/26,3746898058490343,American Express
Sarah Williams,215,02/26,4770969250493281,Discover
John Smith,365,05/27,4742210651128258,Visa
Michael Williams,196,03/25,4328669987090247,Discover
Scott Smith,859,06/25,5816309798913644,Discover
Jane Williams,405,02/28,4645580363978267,American Express
Jennifer Brown,791,01/25,6541511114518326,American Express
Jennifer Garcia,672,09/27,3739696530867990,MasterCard
Lisa Williams,532,10/26,6223902753124200,MasterCard
Michael Jones,670,02/26,3739441603115781,Visa
Sarah Jones,410,09/25,5078533693337814,American Express
Scott Smith,348,07/29,5625432711444405,Visa
Scott Williams,151,09/24,6454279852886546,Discover
Michael Williams,461,03/27,5561843520680359,Discover
Emily Williams,575,06/25,6089023271733597,Discover
John Williams,952,01/24,3714844183652074,Discover
Michael Johnson,712,08/28,5730747037575299,Visa
Lisa Williams,923,03/24,6102412964944228,Visa
Jane Brown,499,05/28,3769811734765568,Discover
David Jones,150,11/26,5585318537637207,MasterCard
John Brown,622,07/24,3736763992585131,MasterCard
John Garcia,763,09/27,3799760228528004,MasterCard
David Garcia,512,04/26,5097822127627172,American Express
Michael Jones,309,08/29,6893019537537539,Visa
Emily Garcia,404,08/28,6425692870576160,American Express
David Smith,885,03/28,3712083368348347,Visa
Michael Garcia,637,04/26,6610432381450224,American Express
Sarah Smith,845,06/26,5919093205959780,Visa
Scott Brown,199,03/28,3775113096297435,Discover
John Smith,140,09/27,6005415442420370,MasterCard
John Williams,560,04/25,3741735651339375,American Express
Sarah Smith,617,06/24,3710682118792035,Visa
Jennifer Garcia,764,09/29,6990859162135139,Visa
Sarah Garcia,821,03/29,5834857402801199,Visa
Jane Jones,645,10/26,4153917843675887,Discover
Jennifer Garcia,481,11/24,4332246006406631,American Express
Lisa Williams,207,02/27,4362268899849761,Visa
Lisa Brown,469,10/25,6008734713444100,Discover
Lisa Williams,754,07/26,3764713371191675,MasterCard
Jennifer Jones,571,01/26,4768828284943451,Visa
John Jones,450,06/29,6268784440814500,Visa
Michael Brown,289,05/24,4424239754740821,American Express
Emily Garcia,847,05/29,6307210612154940,American Express
Lisa Brown,817,09/27,4957369883317251,American Express
David Williams,178,09/27,5068376309586479,Visa
Jennifer Brown,641,01/29,3777495874039040,Visa
Jennifer Williams,834,06/29,3791350620759692,Discover
Michael Williams,886,05/25,5088293690654327,Discover
Emily Jones,992,07/25,5710395074235031,Discover
Jane Johnson,589,10/29,5622967157141661,MasterCard
John Williams,901,04/27,6943175940347443,American Express
John Brown,918,07/24,4668104949602127,American Express
Jennifer Smith,927,09/27,4656544358379838,MasterCard
Emily Johnson,638,07/27,6195126973343895,American Express
Lisa Smith,649,05/24,6372388309851240,Visa
David Brown,744,10/26,6214335991268367,American Express
Sarah Brown,632,02/26,4274855712448511,Discover
Sarah Brown,467,09/27,5483425976159842,Discover
John Johnson,246,12/29,3740698173543521,American Express
Jane Brown,253,01/27,6683707795938340,Discover
Sarah Garcia,801,02/26,3718497551780013,Visa
John Garcia,951,08/27,6933786694010094,Discover
David Williams,432,08/29,3794867506574256,Discover
John Smith,538,10/27,4253618722490286,Visa
David Johnson,582,03/28,6612313388199006,American Express
David Brown,891,03/24,6489237270849487,American Express
Lisa Garcia,704,02/27,4599746401013476,Visa
Jane Johnson,707,09/29,5254233218794732,Discover
Sarah Jones,387,02/27,3781862333363572,MasterCard
Lisa Garcia,492,09/26,4200393827584060,American Express
John Jones,854,11/27,6901489936394446,MasterCard
Jennifer Garcia,352,11/25,6931046650909280,Discover
Sarah Johnson,529,08/29,3705764468698991,Discover
Michael Brown,503,01/29,4528335389297347,MasterCard
Lisa Smith,186,10/24,4000087956735525,MasterCard
Lisa Johnson,780,09/24,4632434458751343,Visa
Michael Brown,824,03/27,4325111251412867,American Express
Lisa Brown,965,10/24,5405679034063355,Discover
Lisa Johnson,864,06/26,4354056040786952,Visa
Sarah Garcia,796,04/28,6891582971708363,American Express
Sarah Brown,527,12/24,4412306762927189,Visa
Emily Garcia,106,04/27,4453186295721410,American Express
David Brown,222,05/26,4707384221174929,MasterCard
Emily Jones,492,09/26,4003181924904789,American Express
Sarah Brown,457,06/29,6600174506748023,American Express
Jennifer Smith,977,10/29,6888397403927464,Visa
Jane Johnson,962,07/29,6730970453148486,Visa
Michael Brown,194,12/25,5085179552057894,Visa
John Jones,485,12/29,5528618319893609,Discover
Lisa Williams,900,12/25,3756544991786812,Visa
Scott Smith,510,11/29,3747416441212792,Visa
John Johnson,345,03/29,3704629291132214,American Express
Lisa Johnson,592,07/24,6726741113265432,MasterCard
Jennifer Smith,440,11/28,5792751692664872,Discover
David Garcia,431,09/28,4608458583399728,American Express
Scott Johnson,317,05/25,6830993478496192,Visa
Michael Jones,381,09/28,3729556888120073,American Express
Michael Smith,855,03/29,6504904072818876,American Express
Scott Garcia,639,06/29,4534261211943860,Visa
Jennifer Brown,532,02/27,5422415825233611,Discover
Jennifer Garcia,773,05/25,4311732990334181,American Express
David Johnson,800,03/26,6647145698269783,MasterCard
John Garcia,545,04/27,5250929418062283,Discover
Sarah Williams,177,09/26,5692104904092881,Visa
Michael Williams,300,06/26,5646167384553109,American Express
Jennifer Johnson,341,05/24,4437808339705734,MasterCard
Sarah Garcia,326,01/26,5836993018907381,MasterCard
Sarah Williams,445,02/28,4749070903457654,American Express
Sarah Williams,837,11/26,4775601403090970,Discover
Lisa Jones,893,10/28,4638744639850028,Visa
John Williams,402,11/29,6327901819541097,American Express
Scott Smith,776,09/29,4464102059597372,Visa
John Johnson,340,07/28,4275124526195498,Discover
Lisa Smith,299,03/26,4134338978760259,MasterCard
Jennifer Garcia,656,01/25,4199599856461888,MasterCard
Michael Johnson,965,10/25,5406007115526307,Discover
John Garcia,179,10/28,3775691354830955,MasterCard
David Brown,315,09/28,6581359559294610,MasterCard
Emily Williams,301,02/27,3723060238545481,Visa
Michael Smith,521,05/29,5073511986781612,American Express
Lisa Jones,809,06/28,6038834671461346,Visa
Michael Brown,724,08/26,3775258646408964,American Express
Jennifer Smith,668,12/28,3714500006362065,MasterCard
Emily Jones,262,09/24,4062719237647831,MasterCard
Jane Jones,182,05/26,4316483561690537,Visa
Scott Brown,882,05/27,4426280034827283,Visa
Lisa Johnson,448,12/29,4875771127117950,American Express
Emily Brown,389,05/26,6648647494644811,Discover
Lisa Garcia,250,08/29,4161060047169892,American Express
David Williams,905,01/28,6485596134206331,American Express
Emily Johnson,521,01/25,3723737792987163,Visa
Lisa Garcia,869,10/24,5064572754179588,Discover
Sarah Jones,846,03/28,4504225944270277,American Express
Scott Garcia,293,02/25,6512262038657031,Visa
Emily Jones,904,07/24,3751846301218641,American Express
Scott Johnson,245,05/27,6916616735597703,MasterCard
John Johnson,450,01/25,4062101840856812,Visa
Sarah Johnson,257,07/24,3729992130702204,Discover
Emily Smith,926,03/29,4121086119213978,American Express
Emily Jones,297,08/24,6338466083420581,Visa
John Jones,871,03/25,3774852699413169,Discover
Lisa Brown,374,07/26,5238266364941278,American Express
Jennifer Williams,362,06/26,6078081475511287,Discover
Jane Williams,884,05/27,5559277798507552,American Express
John Garcia,727,12/26,6244668579323350,Discover
John Jones,815,10/26,4980382227129796,American Express
Jane Williams,960,10/28,6307576351576521,MasterCard
Michael Smith,357,05/27,5345361632481130,MasterCard
Jennifer Williams,387,02/26,5057608029987881,MasterCard
Sarah Garcia,800,01/27,4881787682124977,Discover
Sarah Garcia,999,01/29,4619819132649177,American Express
Michael Garcia,962,09/25,6634296547474705,Visa
David Williams,653,04/29,5015238580214185,Discover
Emily Johnson,987,02/24,4187294218646483,MasterCard
Scott Williams,307,07/26,4417735358943553,Visa
Michael Johnson,235,02/24,4480662250791736,Discover
John Garcia,125,06/29,5493454078162643,Discover
David Johnson,481,07/29,5923713491564564,Discover
Scott Jones,728,04/26,5366475085969179,Visa
Scott Smith,105,05/27,6920311257010830,Discover
Lisa Brown,773,12/27,6782762508072051,Discover
Scott Jones,789,12/29,6345433210948133,American Express
Lisa Smith,942,02/29,5298592483729493,Discover
Lisa Brown,485,05/29,6641997579522797,Discover
David Brown,471,09/25,4257855761204337,American Express
Jennifer Johnson,148,11/27,5479570035032161,MasterCard
Michael Brown,427,11/25,4889248670453474,MasterCard
Sarah Smith,556,09/29,6709676516888946,American Express
Sarah Garcia,523,11/24,4935497643939663,American Express
Scott Jones,972,08/27,4133745214851323,Discover
Lisa Brown,757,01/24,5282922332409435,MasterCard
Jennifer Johnson,613,05/25,3704258896591200,Visa
David Smith,802,09/27,3752423259526703,MasterCard
Emily Johnson,533,07/28,3787148058376773,Discover
John Johnson,332,03/28,5133335513863703,MasterCard
Michael Brown,794,12/26,4849730872330807,Visa
Jennifer Jones,271,03/24,3701886699005029,Discover
David Smith,349,01/27,4806626568620363,American Express
Sarah Brown,854,07/26,3749161213549694,Discover
Emily Williams,387,09/26,3779519462382328,Discover
Lisa Johnson,208,11/26,6814949938043164,Visa
Jane Brown,992,01/25,4971665104130833,Visa
Jennifer Jones,794,06/28,5213118001004904,Visa
David Johnson,494,08/29,5000582611747748,MasterCard
Jennifer Brown,295,06/25,6602749357468660,Visa
Michael Brown,766,10/26,5643411151249027,Visa
Lisa Brown,610,06/26,3775027774272785,Discover
Michael Jones,663,10/25,4299024301140028,American Express
Jennifer Jones,248,05/28,3720585182211444,Discover
Scott Smith,585,08/26,4397647609190781,American Express
Scott Smith,582,03/27,4831826336190264,Visa
Jane Brown,469,08/29,3736951110666400,MasterCard
Michael Williams,397,11/29,5101509308996575,Discover
Scott Smith,102,02/29,3752703565153924,MasterCard
Scott Johnson,350,04/24,6594639759811106,Visa
Sarah Jones,673,09/24,3789878433007762,Discover
Emily Brown,679,08/28,4400446119823022,MasterCard
Lisa Garcia,846,01/28,5623530247706338,Visa
Lisa Garcia,288,02/29,4671210381806293,MasterCard
Scott Brown,995,07/24,5272903077525496,American Express
Sarah Johnson,262,12/26,6393615610403344,Visa
Sarah Smith,601,06/25,6488372308945667,Visa
Lisa Jones,160,12/28,5514018854483955,MasterCard
Sarah Williams,621,08/25,3741230516097822,Visa
Lisa Johnson,859,02/27,4773413293581080,American Express
Jennifer Smith,132,07/26,3767583366027292,American Express
Sarah Johnson,148,10/27,5903314288385323,American Express
Scott Smith,471,03/24,6187315813256553,Discover
Scott Brown,880,04/27,4229711654291219,American Express
Jennifer Smith,645,01/28,3763242302316640,American Express
Emily Johnson,883,03/29,6610873925983834,Visa
Lisa Williams,308,08/28,3701938839926877,Visa
Sarah Johnson,563,01/25,4244416489220828,MasterCard
Emily Garcia,807,04/24,6667869722013603,Visa
Jane Brown,106,02/24,4542531185021152,MasterCard
Jennifer Smith,870,02/24,3707577739580378,American Express
Jane Williams,360,07/24,3739172340732345,MasterCard
Sarah Garcia,366,09/28,6318015453800684,Discover
Lisa Johnson,769,08/28,5662117938041548,American Express
David Jones,562,07/26,6975265149102441,Visa
Jennifer Johnson,202,11/29,3753699406511024,Discover
Lisa Garcia,557,12/25,5279746741382908,Visa
John Jones,217,01/28,6495882328921887,Visa
David Garcia,706,01/25,5493243996101092,Visa
David Johnson,599,06/24,3774952110508413,Visa
John Brown,222,06/28,4647291950232088,MasterCard
Jennifer Jones,595,02/24,6596387210995922,MasterCard
Jane Smith,545,02/24,6745625984863424,American Express
David Jones,100,07/26,4968423588631289,American Express
Sarah Brown,505,09/27,4704778038270080,American Express
John Johnson,948,07/24,5817969595266238,American Express
Michael Garcia,711,05/28,5387135845562624,Visa
Emily Jones,749,05/25,5125327849378142,Discover
Sarah Smith,907,10/28,6523530684692891,American Express
Emily Brown,462,12/25,4456930235841912,Visa
Michael Brown,705,03/26,3721054268678868,MasterCard
Jennifer Brown,894,01/24,5398795528033651,American Express
Jennifer Williams,174,12/28,5006280741584057,Discover
Jennifer Smith,609,08/25,4860578412384634,American Express
David Johnson,730,08/25,5985165418161468,Visa
Michael Williams,709,01/25,6695523377234396,Visa
Jane Garcia,779,06/24,6940555691215258,American Express
Scott Garcia,410,03/28,5800360101844925,Discover
Jane Jones,705,09/27,6866773206928865,Discover
Michael Garcia,882,03/29,4920031976106470,MasterCard
John Johnson,377,10/26,3700158440640053,Visa
Lisa Smith,409,04/29,5972679663242794,Visa
Sarah Jones,250,08/26,6537753926666770,Discover
John Johnson,933,01/28,5896823434822483,Discover
David Johnson,641,10/26,3759799019207889,Visa
David Jones,248,10/27,6305607331119777,MasterCard
Jane Garcia,658,01/28,3766178474735463,Visa
Emily Garcia,458,02/26,6708180158282618,Visa
Michael Johnson,159,01/27,5578419446767462,Visa
Jennifer Jones,126,08/27,6041377149768442,MasterCard
Jennifer Brown,624,07/28,6454243951917495,MasterCard
Emily Smith,903,09/25,4257585970751147,American Express
Michael Garcia,537,10/28,6389066394037187,MasterCard
Jane Garcia,360,03/27,5616244880274179,American Express
Jane Jones,341,10/29,3772291944854368,American Express
Emily Garcia,290,11/29,6174334802120147,Discover
Jennifer Smith,572,01/25,3701088111844305,Visa
Jennifer Smith,662,08/27,6480140731981684,American Express
Jane Jones,287,11/25,5264071683545868,MasterCard
Michael Johnson,227,05/28,3742096773768747,Discover
Scott Smith,111,02/28,5098497209058551,MasterCard
Emily Williams,411,05/24,3780104090281965,Discover
Jennifer Williams,125,03/29,3721305702884722,MasterCard
Jane Jones,316,10/25,4037376442611110,Visa
Michael Williams,467,09/26,6409401931180099,American Express
Jennifer Johnson,107,09/26,3703415815245539,Visa
Michael Garcia,271,11/28,6654236448706891,Visa
Michael Williams,226,09/27,3758916956505460,Visa
Sarah Jones,752,11/26,6120458464106816,American Express
Jennifer Garcia,863,01/29,5802392835836917,American Express
Jennifer Brown,649,03/27,5075587481249030,MasterCard
Michael Smith,341,07/28,6446851688054266,Visa
Emily Smith,693,02/27,4456909602792767,MasterCard
Jane Johnson,603,07/28,6043079856752209,American Express
John Smith,492,06/29,5700368947525989,Discover
Sarah Garcia,383,09/28,6445125983052890,MasterCard
John Garcia,346,03/26,5761557042190808,Discover
Jane Brown,132,06/27,3721912926429224,American Express
John Garcia,528,06/24,6947201367856389,Visa
John Johnson,300,12/25,6479903316740608,American Express
Sarah Williams,292,07/26,5811395383546407,MasterCard
Jennifer Johnson,263,02/27,6602262499318801,Discover
Jennifer Jones,378,09/26,4586203252707983,American Express
John Garcia,885,04/24,5911853155936817,MasterCard
David Jones,971,02/29,3744522359653423,Visa
Emily Johnson,485,05/24,5156766891858018,MasterCard
Jane Johnson,877,05/24,3711134886839845,American Express
Sarah Brown,749,05/28,4707657368706524,MasterCard
David Brown,758,01/24,6558404526949653,Discover
Jane Garcia,836,08/26,3769880108840554,Discover
Jane Williams,900,07/27,6646771804919366,Discover
John Garcia,245,10/26,6428765710085738,American Express
Sarah Garcia,262,12/24,6355193611471674,American Express
John Smith,758,05/25,5757962389619631,Visa
Michael Jones,524,04/25,6518276142032364,Discover
Jennifer Garcia,448,11/26,5929725237030183,MasterCard
